Item ID,Section,Question Type,Question Title,Description / Help Text,Required,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Points,CLO / Skill Mapping,Note
INFO1,ข้อมูลผู้ตอบ,Short answer,ชื่อ-สกุล,กรอกชื่อและนามสกุลของนักศึกษา,TRUE,,,,,,,0,,
INFO2,ข้อมูลผู้ตอบ,Short answer,รหัสนักศึกษา,กรอกรหัสนักศึกษา,TRUE,,,,,,,0,,
INFO3,ข้อมูลผู้ตอบ,Date,วันที่ทำแบบประเมิน,เลือกวันที่ทำแบบประเมิน,TRUE,,,,,,,0,,
A1,SECTION A: ความเข้าใจเรื่องการทำ Senior Project,Multiple choice,Senior Project คืออะไร?,เลือกคำตอบที่ถูกต้องที่สุด,TRUE,ก. โครงงานเขียนรายงานเกี่ยวกับสิ่งที่ศึกษาจากหนังสือ,ข. โครงการวิจัยเล็กน้อยที่นักศึกษาออกแบบและดำเนินการด้วยตัวเอง,ค. การสรุปความรู้ที่เรียนมาตั้งแต่ชั้นที่ 1,ง. สิ่งที่ไม่สำคัญและจะหายไปหลังสำเร็จการศึกษา,,ข,1,CLO1/CLO2/CLO3,ใช้เป็นคะแนนความเข้าใจพื้นฐาน
A2,SECTION A: ความเข้าใจเรื่องการทำ Senior Project,Multiple choice,ขั้นตอนหลักของการทำ Senior Project คือขั้นไหนบ้าง?,เลือกคำตอบที่ถูกต้องที่สุด,TRUE,ก. เขียนรายงาน → นำเสนอ → จบ,ข. ระบุปัญหา → ตั้งสมมติฐาน → ออกแบบการทดลอง → เก็บข้อมูล → วิเคราะห์ → เขียนรายงาน → นำเสนอ,ค. หาข้อมูล → ลอกรายงาน → ส่ง,ง. ไม่เป็นขั้นตอนที่แน่นอน ทำได้ตามต้องการ,,ข,1,CLO1/CLO2/CLO3,ใช้เป็นคะแนนความเข้าใจพื้นฐาน
A3,SECTION A: ความเข้าใจเรื่องการทำ Senior Project,Multiple choice,CLO (Course Learning Outcomes) ของวิชา Senior Project คือ?,เลือกคำตอบที่ถูกต้องที่สุด,TRUE,ก. ได้เกรด A ในวิชา,ข. ผลการเรียนรู้ที่เน้นการระบุปัญหา การใช้วิธีการทางวิทยาศาสตร์ และการนำเสนอผลงาน,ค. จำนวนชั่วโมงที่ใช้ในการเรียน,ง. ไม่สำคัญ แล้วแต่อาจารย์,,ข,1,CLO1/CLO2/CLO3,ใช้เป็นคะแนนความเข้าใจพื้นฐาน
A4,SECTION A: ความเข้าใจเรื่องการทำ Senior Project,Multiple choice,ข้อมูลวิจัยมีความสำคัญต่อ Senior Project อย่างไร?,เลือกคำตอบที่ถูกต้องที่สุด,TRUE,ก. ไม่สำคัญมากนัก สิ่งสำคัญคือการนำเสนอให้ดูดี,ข. ข้อมูลอย่างเป็นระบบและเชื่อถือได้เป็นรากฐานของการตั้งข้อสรุปที่มีความหมาย,ค. ข้อมูลควรมีจำนวนมากที่สุดเท่าที่จะได้,ง. ข้อมูลชนิดใดก็ได้ เพราะแค่มีข้อมูลก็พอ,,ข,1,CLO1/CLO2/CLO3,ใช้เป็นคะแนนความเข้าใจพื้นฐาน
A5,SECTION A: ความเข้าใจเรื่องการทำ Senior Project,Multiple choice,ผู้ที่ให้คำแนะนำในการทำ Senior Project เรียกว่า?,เลือกคำตอบที่ถูกต้องที่สุด,TRUE,ก. เพื่อนร่วมชั้น,ข. ที่ปรึกษา (Advisor),ค. ผู้บริหารห้องเรียน,ง. ไม่จำเป็นต้องมีผู้ให้คำแนะนำ,,ข,1,CLO1/CLO2/CLO3,ใช้เป็นคะแนนความเข้าใจพื้นฐาน
A6,SECTION A: ความเข้าใจเรื่องการทำ Senior Project,Multiple choice,ความแตกต่างระหว่าง Literature Review กับ Experiment คืออะไร?,เลือกคำตอบที่ถูกต้องที่สุด,TRUE,ก. ไม่แตกต่างกัน ทั้งสองเป็นสิ่งเดียวกัน,ข. Literature Review คือการศึกษาจากงานวิจัยที่มีอยู่ ส่วน Experiment คือการทำการทดลองหรือเก็บข้อมูลด้วยตัวเอง,ค. Literature Review ทำหลังจากสำเร็จการศึกษา,ง. ไม่มีความสำคัญในการทำ Senior Project,,ข,1,CLO1/CLO2/CLO3,ใช้เป็นคะแนนความเข้าใจพื้นฐาน
B1,SECTION B: ทักษะเชิงเทคนิค (Hard Skills),Multiple choice,การออกแบบการทดลอง (Experimental Design),ให้ระดับความมั่นใจของตนเอง 1–5,TRUE,1 = ไม่มีความเข้าใจเลย,2 = มีความเข้าใจน้อย,3 = มีความเข้าใจปานกลาง,4 = มีความเข้าใจค่อนข้างดี,5 = มีความเข้าใจมากที่สุด,,0,CLO2/CLO3,Likert scale; หากสร้างใน Google Forms เอง สามารถเปลี่ยนเป็น Linear scale ได้
B2,SECTION B: ทักษะเชิงเทคนิค (Hard Skills),Multiple choice,การใช้เครื่องมือวิทยาศาสตร์ (Laboratory Equipment),ให้ระดับความมั่นใจของตนเอง 1–5,TRUE,1 = ไม่มีความเข้าใจเลย,2 = มีความเข้าใจน้อย,3 = มีความเข้าใจปานกลาง,4 = มีความเข้าใจค่อนข้างดี,5 = มีความเข้าใจมากที่สุด,,0,CLO2/CLO3,Likert scale; หากสร้างใน Google Forms เอง สามารถเปลี่ยนเป็น Linear scale ได้
B3,SECTION B: ทักษะเชิงเทคนิค (Hard Skills),Multiple choice,การวิเคราะห์ข้อมูลทางสถิติ (Statistical Analysis),ให้ระดับความมั่นใจของตนเอง 1–5,TRUE,1 = ไม่มีความเข้าใจเลย,2 = มีความเข้าใจน้อย,3 = มีความเข้าใจปานกลาง,4 = มีความเข้าใจค่อนข้างดี,5 = มีความเข้าใจมากที่สุด,,0,CLO2/CLO3,Likert scale; หากสร้างใน Google Forms เอง สามารถเปลี่ยนเป็น Linear scale ได้
B4,SECTION B: ทักษะเชิงเทคนิค (Hard Skills),Multiple choice,การตีความผลลัพธ์จากข้อมูล (Data Interpretation),ให้ระดับความมั่นใจของตนเอง 1–5,TRUE,1 = ไม่มีความเข้าใจเลย,2 = มีความเข้าใจน้อย,3 = มีความเข้าใจปานกลาง,4 = มีความเข้าใจค่อนข้างดี,5 = มีความเข้าใจมากที่สุด,,0,CLO2/CLO3,Likert scale; หากสร้างใน Google Forms เอง สามารถเปลี่ยนเป็น Linear scale ได้
B5,SECTION B: ทักษะเชิงเทคนิค (Hard Skills),Multiple choice,การเขียนรายงานวิจัยเป็นภาษาอังกฤษ (English Scientific Writing),ให้ระดับความมั่นใจของตนเอง 1–5,TRUE,1 = ไม่มีความเข้าใจเลย,2 = มีความเข้าใจน้อย,3 = มีความเข้าใจปานกลาง,4 = มีความเข้าใจค่อนข้างดี,5 = มีความเข้าใจมากที่สุด,,0,CLO2/CLO3,Likert scale; หากสร้างใน Google Forms เอง สามารถเปลี่ยนเป็น Linear scale ได้
B6,SECTION B: ทักษะเชิงเทคนิค (Hard Skills),Multiple choice,การใช้ Microsoft Excel/Google Sheets สำหรับวิเคราะห์ข้อมูล,ให้ระดับความมั่นใจของตนเอง 1–5,TRUE,1 = ไม่มีความเข้าใจเลย,2 = มีความเข้าใจน้อย,3 = มีความเข้าใจปานกลาง,4 = มีความเข้าใจค่อนข้างดี,5 = มีความเข้าใจมากที่สุด,,0,CLO2/CLO3,Likert scale; หากสร้างใน Google Forms เอง สามารถเปลี่ยนเป็น Linear scale ได้
B7,SECTION B: ทักษะเชิงเทคนิค (Hard Skills),Multiple choice,การสร้างตารางและกราฟให้มีความชัดเจน (Visualization),ให้ระดับความมั่นใจของตนเอง 1–5,TRUE,1 = ไม่มีความเข้าใจเลย,2 = มีความเข้าใจน้อย,3 = มีความเข้าใจปานกลาง,4 = มีความเข้าใจค่อนข้างดี,5 = มีความเข้าใจมากที่สุด,,0,CLO2/CLO3,Likert scale; หากสร้างใน Google Forms เอง สามารถเปลี่ยนเป็น Linear scale ได้
B8,SECTION B: ทักษะเชิงเทคนิค (Hard Skills),Multiple choice,การอ้างอิงต้นทาง (Citation & Referencing),ให้ระดับความมั่นใจของตนเอง 1–5,TRUE,1 = ไม่มีความเข้าใจเลย,2 = มีความเข้าใจน้อย,3 = มีความเข้าใจปานกลาง,4 = มีความเข้าใจค่อนข้างดี,5 = มีความเข้าใจมากที่สุด,,0,CLO2/CLO3,Likert scale; หากสร้างใน Google Forms เอง สามารถเปลี่ยนเป็น Linear scale ได้
C1,SECTION C: ทักษะทั่วไป (Soft Skills),Multiple choice,การสื่อสารอย่างมีประสิทธิภาพ (Effective Communication),ให้ระดับความมั่นใจของตนเอง 1–5,TRUE,1 = ไม่มีความเข้าใจเลย,2 = มีความเข้าใจน้อย,3 = มีความเข้าใจปานกลาง,4 = มีความเข้าใจค่อนข้างดี,5 = มีความเข้าใจมากที่สุด,,0,CLO1/CLO2/CLO3,Likert scale; หากสร้างใน Google Forms เอง สามารถเปลี่ยนเป็น Linear scale ได้
C2,SECTION C: ทักษะทั่วไป (Soft Skills),Multiple choice,การแก้ปัญหาอย่างสร้างสรรค์ (Problem-Solving),ให้ระดับความมั่นใจของตนเอง 1–5,TRUE,1 = ไม่มีความเข้าใจเลย,2 = มีความเข้าใจน้อย,3 = มีความเข้าใจปานกลาง,4 = มีความเข้าใจค่อนข้างดี,5 = มีความเข้าใจมากที่สุด,,0,CLO1/CLO2/CLO3,Likert scale; หากสร้างใน Google Forms เอง สามารถเปลี่ยนเป็น Linear scale ได้
C3,SECTION C: ทักษะทั่วไป (Soft Skills),Multiple choice,การทำงานเป็นทีมและหรือบทบาทในกลุ่ม (Teamwork & Collaboration),ให้ระดับความมั่นใจของตนเอง 1–5,TRUE,1 = ไม่มีความเข้าใจเลย,2 = มีความเข้าใจน้อย,3 = มีความเข้าใจปานกลาง,4 = มีความเข้าใจค่อนข้างดี,5 = มีความเข้าใจมากที่สุด,,0,CLO1/CLO2/CLO3,Likert scale; หากสร้างใน Google Forms เอง สามารถเปลี่ยนเป็น Linear scale ได้
C4,SECTION C: ทักษะทั่วไป (Soft Skills),Multiple choice,การจัดการเวลาและสไตล์การเรียน (Time Management),ให้ระดับความมั่นใจของตนเอง 1–5,TRUE,1 = ไม่มีความเข้าใจเลย,2 = มีความเข้าใจน้อย,3 = มีความเข้าใจปานกลาง,4 = มีความเข้าใจค่อนข้างดี,5 = มีความเข้าใจมากที่สุด,,0,CLO1/CLO2/CLO3,Likert scale; หากสร้างใน Google Forms เอง สามารถเปลี่ยนเป็น Linear scale ได้
C5,SECTION C: ทักษะทั่วไป (Soft Skills),Multiple choice,ความคิดริเริ่มและความอยากรู้อยากเห็น (Initiative & Curiosity),ให้ระดับความมั่นใจของตนเอง 1–5,TRUE,1 = ไม่มีความเข้าใจเลย,2 = มีความเข้าใจน้อย,3 = มีความเข้าใจปานกลาง,4 = มีความเข้าใจค่อนข้างดี,5 = มีความเข้าใจมากที่สุด,,0,CLO1/CLO2/CLO3,Likert scale; หากสร้างใน Google Forms เอง สามารถเปลี่ยนเป็น Linear scale ได้
C6,SECTION C: ทักษะทั่วไป (Soft Skills),Multiple choice,ความหนักแน่นและการทำงานจนเสร็จสิ้น (Perseverance & Completion),ให้ระดับความมั่นใจของตนเอง 1–5,TRUE,1 = ไม่มีความเข้าใจเลย,2 = มีความเข้าใจน้อย,3 = มีความเข้าใจปานกลาง,4 = มีความเข้าใจค่อนข้างดี,5 = มีความเข้าใจมากที่สุด,,0,CLO1/CLO2/CLO3,Likert scale; หากสร้างใน Google Forms เอง สามารถเปลี่ยนเป็น Linear scale ได้
D1,SECTION D: ความรู้เรื่องเครื่องมือ AI (AI Tools Awareness),Multiple choice,เคยใช้ ChatGPT หรือไม่?,เลือกคำตอบที่ตรงกับประสบการณ์ของตนเอง,TRUE,ก. ไม่เคยใช้เลย,ข. ใช้น้อย,ค. ใช้บ้าง,ง. ใช้บ่อยมาก,,,0,AI literacy/Senior Project support,D5 สามารถใช้เป็นข้อวัดความเข้าใจเชิงทัศนคติได้
D2,SECTION D: ความรู้เรื่องเครื่องมือ AI (AI Tools Awareness),Multiple choice,เคยใช้ Claude (Anthropic) หรือไม่?,เลือกคำตอบที่ตรงกับประสบการณ์ของตนเอง,TRUE,ก. ไม่เคยใช้เลย,ข. ใช้น้อย,ค. ใช้บ้าง,ง. ใช้บ่อยมาก,,,0,AI literacy/Senior Project support,D5 สามารถใช้เป็นข้อวัดความเข้าใจเชิงทัศนคติได้
D3,SECTION D: ความรู้เรื่องเครื่องมือ AI (AI Tools Awareness),Multiple choice,เคยใช้ Google Consensus สำหรับค้นหาบทความวิจัย หรือไม่?,เลือกคำตอบที่ตรงกับประสบการณ์ของตนเอง,TRUE,ก. ไม่เคยใช้เลย,ข. ใช้น้อย,ค. ใช้บ้าง,ง. ใช้บ่อยมาก,,,0,AI literacy/Senior Project support,D5 สามารถใช้เป็นข้อวัดความเข้าใจเชิงทัศนคติได้
D4,SECTION D: ความรู้เรื่องเครื่องมือ AI (AI Tools Awareness),Multiple choice,"เคยใช้เครื่องมือ AI อื่นๆ (เช่น Perplexity, Copilot) หรือไม่?",เลือกคำตอบที่ตรงกับประสบการณ์ของตนเอง,TRUE,ก. ไม่เคยใช้เลย,ข. ใช้น้อย,ค. ใช้บ้าง,ง. ใช้บ่อยมาก,,,0,AI literacy/Senior Project support,D5 สามารถใช้เป็นข้อวัดความเข้าใจเชิงทัศนคติได้
D5,SECTION D: ความรู้เรื่องเครื่องมือ AI (AI Tools Awareness),Multiple choice,คิดว่า AI tools มีประโยชน์ต่อการทำ Senior Project อย่างไร?,เลือกคำตอบที่ตรงกับประสบการณ์ของตนเอง,TRUE,ก. ไม่มีประโยชน์เลย,ข. ช่วยหาข้อมูลและ literature review,ค. ช่วยในการเขียนร่างและจัดโครงสร้างรายงาน,"ง. ก, ข, และ ค ทั้งหมด",,ง,1,AI literacy/Senior Project support,D5 สามารถใช้เป็นข้อวัดความเข้าใจเชิงทัศนคติได้
